"","X12.31.2017","Retail.Dealer","RITE.AID.OF.NEW.YORK..INC.","RITE.AID.STORE..4866","X9514","X63RD.DR","X","REGO.PARK","X11374","X212.791.5795","Queens","X.1","X.73.86273182","X40.7294619"
"905","03/31/2018","market","KING BAKERY 90 INC.","","90","E BROADWAY","","NEW YORK",10002,"6262621443","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99379562,40.71376668
"907","03/31/2018","market","282 BRIGHTON INTERNATIONAL SERVICES, LLC","GUEST HOUSE RESTAURANT","282","BRIGHTON BEACH AVE","","BROOKLYN",11235,"7188913111","Brooklyn","Product Category: Confectionery, Cigars, Cigarettes, or Tobacco, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.96463911,40.57691472
"911","03/31/2018","market","YANG HEE LEE","KING FARM","22701","MERRICK BLVD","","LAURELTON",11413,"7187232488","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.74293764,40.67695505
"914","03/31/2018","market","SATESH, DHANDOO","ISH OCEAN CARRIBEAN MARKET","11509","JAMAICA AVE","","RICHMOND HILL",11418,"7185470434","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.83391859,40.69878687
"916","03/31/2018","market","REYES, ADALBERTO","MORELOS DELI & FRUIT","6","CEBRA AVE","","STATEN ISLAND",10301,"7182732050","Staten Island","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.0864301,40.63436096
"918","03/31/2018","market","BRIGHTON BAZAAR, INC.","ELMO","1007","BRIGHTON BEACH AVE","","BROOKLYN",11235,"718-769-1700","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.9594151,40.57804934
"919","03/31/2018","market","RODRIGUEZ, FAUSTO","F & R GROCERY","10701","37TH AVE","","CORONA",11368,"7184760699","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.86110046,40.75394315
"925","03/31/2018","market","LYDIG FOOD CORP.","KEY FOOD","751","LYDIG AVE","","BRONX",10462,"7188285191","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86561151,40.85446593
"931","03/31/2018","market","US SANDWICH INC.","","1313","W 6TH ST","","BROOKLYN",11204,"7182563505","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9805938,40.6128699
"935","03/31/2018","market","NEW APPLE MARKET, INC.","","21601","JAMAICA AVE","","QUEENS VILLAGE",11428,"9176841111","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 8, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.7387443,40.71756834
"937","03/31/2018","market","2451 BROADWAY MARKET, INC.","","2451","BROADWAY","","NEW YORK",10024,"2128744992","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 8, 5.01 to 10 foot stands: 0",-73.97432662,40.79118231
"940","03/31/2018","market","461 7TH AVENUE MARKET INC.","","461","7TH AVE","","NEW YORK",10001,"2127602337","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99022257,40.75152053
"941","03/31/2018","market","Kochu Inc","Community Greenmarket","2228","WHITE PLAINS RD","","BRONX",10467,"718-640-4725","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 5, 5.01 to 10 foot stands: 0",-73.86755562,40.85843153
"946","03/31/2018","market","GOLDEN FARM BROOKLYN INC","","329","CHURCH AVE","","BROOKLYN",11218,"718-530-3665","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 10, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97715076,40.64377285
"949","03/31/2018","market","ACE MARKET NY INC","","6511","BAY PKWY","","BROOKLYN",11204,"718-200-9988","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 10, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98149759,40.61377034
"950","03/31/2018","market","7 AVE GOURMET INC.","","75","7TH AVE","","NEW YORK",10011,"7187833806","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99929272,40.73907624
"953","03/31/2018","market","NEW BEGINNING 1883 CORP.","VITELIO'S MARKET PLACE","1881-1883","MADISON ST","","RIDGEWOOD",11385,"7183661374","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9045754,40.70354422
"962","03/31/2018","market","RIJO, ROLANDO","OLGA'S UNISEX","65","E MOUNT EDEN AVE","","BRONX",10452,"7182941788","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91354348,40.8438596
"974","03/31/2018","market","SWEET HARVEST FOOD CORP.","","2279","86TH ST","","BROOKLYN",11214,"7186213573","Brooklyn","Product Category: Ice Cream, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.99196236,40.60081337
"977","03/31/2018","market","MUNG, CHIN MEI","HUDSON FLOWER SHOP","501","HUDSON ST","","NEW YORK",10014,"2122551119","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-74.00640103,40.73315838
"982","03/31/2018","market","AVE Z FOOD MART CORP","","2835","CONEY ISLAND AVE","","BROOKLYN",11235,"718-648-6414","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 5, 5.01 to 10 foot stands: 0",-73.9603455,40.58741493
"986","03/31/2018","market","SUZIE FOODS CORP.","","167","BEDFORD AVE","","BROOKLYN",11211,"7189634257","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95721213,40.71829873
"988","03/31/2018","market","ABDURAKHMANOV SHOE  REPAIR SHOP INC","","16830","JAMAICA AVE","","JAMAICA",11432,"7185847200","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.79166327,40.70660936
"1013","03/31/2018","market","NATIONAL GREEN MARKET INC.","","17104","JAMAICA AVE","","JAMAICA",11432,"6463151718","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.78857307,40.7074793
"1032","03/31/2018","market","PACIFIC SEAFOOD TRADING, INC.","","58","ELIZABETH ST","","NEW YORK",10013,"2122198323","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99651526,40.71727734
"1035","03/31/2018","market","A AND S EXPORT& IMPORT INC.","A&D TURKISH HALAL MEAT & GROCERY MARKET","7919","5TH AVE","","BROOKLYN",11209,"9175007993","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.02392761,40.62630755
"1036","03/31/2018","market","KP FARM MARKET CORP.","","1887","NOSTRAND AVE","","BROOKLYN",11226,"718-826-3965","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 6, 5.01 to 10 foot stands: 0",-73.94835555,40.63954753
"1040","03/31/2018","market","AVE. U KING FARMER & DELI CORP.","","1701","AVENUE U","","BROOKLYN",11229,"7182493517","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 8, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95437173,40.59906165
"1043","03/31/2018","market","Robusta Espresso Bar LLC","","7","HANOVER SQ","","NEW YORK",10004,"2127979797","Manhattan","Product Category: Ice Cream, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00940626,40.70446995
"1057","03/31/2018","market","NEW HENG YUN CHICKEN MARKET INC","COMPUSTAR","94","HESTER ST","","NEW YORK",10002,"917-470-7630","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99270596,40.71643452
"1061","03/31/2018","market","BIG SMILE LLC","","424","DITMAS AVE","","BROOKLYN",11218,"718-686-2666","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97473585,40.63590305
"1063","03/31/2018","market","LUCKY CORNER FARM & FLORIST INC","Y. B. FARM","1902","AVENUE M","","BROOKLYN",11230,"718-645-6755","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 7, 5.01 to 10 foot stands: 0",-73.95604064,40.61844055
"1064","03/31/2018","market","AMBE GROCERY CORP.","","6934","MAIN ST","","FLUSHING",11367,"7187931980","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82372602,40.73050121
"1065","03/31/2018","market","ZAMILUR RAHMAN","M & M Natural Fruits","8044","JAMAICA AVE","","WOODHAVEN",11421,"7184801531","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86062659,40.69233916
"1067","03/31/2018","market","TOUCH OF GREEN, INC.","BONO TRATTORIO","2701","HYLAN BLVD","","STATEN ISLAND",10306,"7189879239","Staten Island","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 13, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.1138512,40.56641976
"1070","03/31/2018","market","L-MO'S MARKET, INC","","51","MORGAN AVE","","BROOKLYN",11237,"7183862380","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93168089,40.70555071
"1073","03/31/2018","market","GOLDEN FLOWERS INC","GOLDEN FLOWERS INC","8509","BAY PKWY","","BROOKLYN",11214,"917-620-8205","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99331981,40.60240818
"1079","03/31/2018","market","OCEAN FRUIT & SUPERMARKET INC","","1986","OCEAN AVE","","BROOKLYN",11230,"718-375-4030","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95402355,40.6131231
"1082","03/31/2018","market","H.M.T. FOOD & GROCERY CORP.","ZIAD'S DELI","143","SMITH ST","","BROOKLYN",11201,"7188029692","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99030415,40.68694733
"1086","03/31/2018","market","BAKLAVA INC.","EFE MARKET","2741","OCEAN AVE","","BROOKLYN",11229,"7188913934","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95044294,40.59433897
"1093","03/31/2018","market","KUAN SING SUPERMARKET INC","KUAN SING SUPERMARKET","1247","AVENUE U","","BROOKLYN",11229,"6468120707","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95886608,40.59856928
"1104","03/31/2018","market","MANNAN INC","","3708","73RD ST","","JACKSON HEIGHTS",11372,"6462707860","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89264804,40.74845169
"1116","03/31/2018","market","CHILPANCINGO RESTAURANT INC","","366A","E 204TH ST","","BRONX",10467,"7189441440","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87733165,40.8716416
"1127","03/31/2018","market","JB CHURCH FARM CORP","","5014","CHURCH AVE","","BROOKLYN",11203,"7183464600","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93012864,40.6517769
"1137","03/31/2018","market","SHREEJI 315 INC","ONE'S CONVENIENCE & SMOKE SHOP","315","1ST AVE","","NEW YORK",10003,"2125331074","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98056937,40.73390349
"1138","03/31/2018","market","ALL WELL PRODUCE INC.","","131","MOTT ST","","NEW YORK",10013,"6466676156","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99683266,40.71833134
"1144","03/31/2018","market","Y & R FARM, INC.","","1033","RUTLAND RD","","BROOKLYN",11212,"718-773-0700","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92553537,40.66323074
"1152","03/31/2018","market","KHIM'S MILLENIUM MARKET IV, INC.","DONARDI DESIGN LLC","260","BUSHWICK AVE","","BROOKLYN",11206,"718-497-7068","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93975501,40.70710326
"1155","03/31/2018","market","MERCEDES IRSHAD","TOP NEWS AND GROCERY","6422","14TH AVE","","BROOKLYN",11219,"7182325136","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99889406,40.62507762
"1164","03/31/2018","market","AJLJ EDIBLES, INC","","470","AVENUE P","","BROOKLYN",11223,"347-293-9329","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97016122,40.60912102
"1165","03/31/2018","market","Rent Ride Return, LLC","","514","ATLANTIC AVE","","BROOKLYN",11217,"9175242421","Brooklyn","Product Category: Ice Cream, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98112073,40.68547773
"1167","03/31/2018","market","CAPELLAN DELI GROCERY CORP.","","1626","PARK AVE","","NEW YORK",10029,"2128288555","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94358718,40.79884288
"1174","03/31/2018","market","BROADWAY FRUIT MARKET LLC","BROADWAY FARM","2341","BROADWAY","","NEW YORK",10024,"6465050808","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 8, 5.01 to 10 foot stands: 0",-73.97698579,40.78775744
"1179","03/31/2018","market","639 GRAND ST. MEAT & PRODUCE CORP.","ASSOCIATED SUPERMARKET","639","GRAND ST","","BROOKLYN",11211,"718-388-6938","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94659374,40.71139396
"1187","03/31/2018","market","MASTER FOOD, INC.","","3008","CHURCH AVE","","BROOKLYN",11226,"718-703-9577","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 4, 5.01 to 10 foot stands: 0",-73.94937031,40.65080984
"1188","03/31/2018","market","U.S. SUPERMARKET INC.","","8266","BROADWAY","","ELMHURST",11373,"9178078088","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 13, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88080073,40.74167697
"1192","03/31/2018","market","GREENFRESH SUPERMARKET INC.","GEORGES GENERAL CONTRACTING","527","DEKALB AVE","","BROOKLYN",11205,"9176238270","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95577652,40.69087524
"1195","03/31/2018","market","MORELOS INC.","ST JESUS PHARMACY","298","IRVING AVE","","BROOKLYN",11237,"347-933-3724","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91443093,40.69903957
"1201","03/31/2018","market","LOS TRES HERMANOS DELI GROCERY CORP.","","190","KNICKERBOCKER AVE","","BROOKLYN",11237,"347-458-8193","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92705179,40.7037473
"1210","03/31/2018","market","ILKE CORP.","CARNIVAL FRESH MARKET","128-132","CHURCH AVE","","BROOKLYN",11218,"7189727402","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 20, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97886982,40.6430266
"1213","03/31/2018","market","LEX34 FRUIT & VEGETABLE CORP.","","136","E 34TH ST","","NEW YORK",10016,"2124779159","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 6, 5.01 to 10 foot stands: 0",-73.97945421,40.74627938
"1219","03/31/2018","market","INTERMEX PRODUCE INC.","","9818","37TH AVE","","CORONA",11368,"7182045456","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86883179,40.75208578
"1223","03/31/2018","market","JN NATURAL FRUIT CORP.","","202","AVENUE OF THE AMERICAS","","NEW YORK",10013,"9178175447","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 8, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00350327,40.72678793
"1231","03/31/2018","market","H & Y FRUIT AND VEGETABLES CORP","","156","E 188TH ST","","BRONX",10468,"9178487674","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89840514,40.86164118
"1232","03/31/2018","market","AHMED, MD JU","OZONE PARK SUPERMARKET & HALAL MEAT","7819","101ST AVE","","OZONE PARK",11416,"7187551712","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.85918387,40.68052663
"1245","03/31/2018","market","RICHMOND FRUIT, INC.","JUST RECOVERY","3868","RICHMOND AVE","","STATEN ISLAND",10312,"7183569503","Staten Island","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.16462721,40.54364488
"1247","03/31/2018","market","KIN SHING TRADING, INC.","","133","MOTT ST","","NEW YORK",10013,"2123438708","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99680019,40.71839172
"1249","03/31/2018","market","J&E MEAT & PRODUCE CORP.","","385","BROADWAY","","BROOKLYN",11211,"7182187858","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95461505,40.70729124
"1250","03/31/2018","market","RAMIREZ, RUBEN","GUERRERO FLOWERS","4419","BROADWAY","","NEW YORK",10040,"2123048440","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93311351,40.85578463
"1252","03/31/2018","market","JOFRE, ANGEL","ANGELS FLOWER SHOP","3551","JUNCTION BLVD","","CORONA",11368,"7184260459","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87160916,40.75300566
"1255","03/31/2018","market","MG FRESH FRUITS, INC.","B.H. CONSTRUCTION USA","2319","65TH ST","","BROOKLYN",11204,"7186451639","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 3, 5.01 to 10 foot stands: 0",-73.9787031,40.61219709
"1257","03/31/2018","market","SHAJALAL SUPERMARKET & HALAL MEAT INC","AT&T MOBILITY","7505","101ST AVE","","OZONE PARK",11416,"7188431590","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86206268,40.67970943
"1272","03/31/2018","market","765 SIXTH AVENUE MARKET, INC.","","765","AVENUE OF THE AMERICAS","","NEW YORK",10010,"2122290301","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99163466,40.74452153
"1274","03/31/2018","market","MAYLIN GARDEN INC","","5506","8TH AVE","","BROOKLYN",11220,"6467084368","Brooklyn","Product Category: Confectionery, Cigars, Cigarettes, or Tobacco, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00674503,40.63821124
"1279","03/31/2018","market","BEST UTICA MARKET, INC.","","890","UTICA AVE","","BROOKLYN",11203,"646-239-5434","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93034181,40.65126101
"1285","03/31/2018","market","J & E FRESH PRODUCE CORP.","CITY FRESH MARKET","12217","20TH AVE","","COLLEGE POINT",11356,"7183211684","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.84569633,40.78169213
"1292","03/31/2018","market","PRODUCE PLUS, INC.","","15705","LINDEN BLVD","","JAMAICA",11434,"7185294072","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.79025089,40.6877941
"1298","03/31/2018","market","HUNG CHONG IMPORTS, INC.","","14","BOWERY","","NEW YORK",10013,"2123493392","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99723686,40.71444202
"1312","03/31/2018","market","ORCHARD SUPERMARKET CORP","ORCHARD FINE FOODS","11044","QUEENS BLVD","","FOREST HILLS",11375,"7185445656","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.83945878,40.71943538
"1318","03/31/2018","market","16 ST DELI & GROCERY INC","","279","1ST AVE","","NEW YORK",10003,"2126734339","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98155481,40.73256147
"1326","03/31/2018","market","KOL TOV GROCERIES INC.","ANGEL BRIGHT INC.","4423","14TH AVE","","BROOKLYN",11219,"7188544005","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 7, 5.01 to 10 foot stands: 0",-73.98716968,40.63631957
"1330","03/31/2018","market","PAWAN HOLDINGS, INC","","139","1ST AVE","","NEW YORK",10003,"212-477-4846","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98508469,40.72789041
"1332","03/31/2018","market","P & K PRODUCE CORP.","","449","KINGS HWY","","BROOKLYN",11223,"718-339-9565","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 5, 5.01 to 10 foot stands: 0",-73.97330729,40.6043184
"1339","03/31/2018","market","LUCKY DOLLAR CITY INC","","5501","MYRTLE AVE","","RIDGEWOOD",11385,"7188753547","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.90862351,40.69985305
"1340","03/31/2018","market","INCHES WIDE, INC.","VEKSLERS","521","HICKS ST","","BROOKLYN",11231,"917-478-0558","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00049758,40.68554241
"1344","03/31/2018","market","DELUXE MEAT MARKET INC","","122","MOTT ST","","NEW YORK",10013,"2129259766","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99688678,40.71819685
"1346","03/31/2018","market","GUADALUPITA II DELI & GROCERY CORP.","","3901","5TH AVE","","BROOKLYN",11232,"718-686-0574","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-74.00398582,40.65117773
"1349","03/31/2018","market","THE BAD WIFE, INC.","","378","7TH AVE","","BROOKLYN",11215,"917-715-7015","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98280614,40.6654384
"1350","03/31/2018","market","T & A GROCERY CORP. I","","8901","ROOSEVELT AVE","","JACKSON HEIGHTS",11372,"646-500-0006","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87734215,40.74833485
"1351","03/31/2018","market","MILENIOS PARTY GOODS AND FLOWER SHOP INC","SKY SMOKES AND ELECTRONICS","8931","37TH AVE","","JACKSON HEIGHTS",11372,"7185330627","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.87746814,40.75047589
